type,author,text,likes,published_at,parent_id,is_owner
comment,@marlene2666,"La mienne elle aboie quand on croise d'autres chiens par peur je pense. Là c'est pas vraiment possible de lui jeter une poignée de friandises surtout qu'elle n'est pas gourmande, avec le stress elle n'en voudra pas.",1,2025-04-25T07:11:42Z,,False
reply,@catherinel9207,Pareil pour le mien ... 😔,0,2025-05-10T23:25:06Z,UgyPfCuiCWhN4myc4Kp4AaABAg,False
comment,@mariequilliec5105,"Merci pour cette vidéo. J'ai une petite question car mon chien aboie systématiquement quand une voiture, un humain passe sur les chemins à plus de 20m de la maison. Pourtant ils n'entrent pas dans notre propriété, ils sont loin et il connais puisqu'on a fait de la ville en balade etc donc on ne sait pas trop comment gérer ça. Même quand des personnes entrent dans le gîte à côté de chez nous.... Est-ce qu'il fait le récompenser avec la fouille comme expliquer dans la vidéo ?",0,2025-04-06T07:47:31Z,,False
comment,@namamaverick1516,"bonjour, quelle est la video qui porte sur le détournement d attention et la mise en place de cet interrupteur positif que vous évoquez?",0,2025-03-30T06:11:45Z,,False
comment,@nathalievivot3516,"Bjr, je viens de vous écouter , super les conseils , moi sunny est une aboyeuse dans notre cour quand les personnes passe devant le portail .
Et aussi dans la voiture quand il aperçoit des humains et chien quand on roule .merci pour la réponse 
Et continuer 👍",0,2025-03-27T08:43:57Z,,False
comment,@marysechristinger2410,"moi j'ai un shetland de 3 ans (shetland = aboiements) mais surtout lorsque       des gens viennent à la maison là il ne se controle plus et aboie sans arret au grand dam, de la voisine du dessous (qui en plus n'aime pas les chiens) que faire",0,2025-03-24T10:22:03Z,,False
comment,@ggramm25,Je suis heureuse de découvrir votre compte.  Mon chiot a 8 mois et j'ai déjà fait beaucoup d'erreur 😢,0,2025-03-23T10:38:24Z,,False
comment,@mulotjenn47,Bonjour impossible de laisser mon bergzr americain seul jai tout essayé rien n'y fait. Mes parents mon chien la journee mais pas une solution donc nous reprenons tout a zero et lhabitue dans mon appartmenr,0,2025-03-17T12:28:04Z,,False
comment,@amandineprompt7755,"Bonjour ! Je viens partager mon témoignage sur cette méthode car j'étais sceptique mais ayant essayé pas mal de choses pour stopper les aboiements intenses de mon chiot envers les chiens croisés dans la rue, j'étais ouverte à cette méthode positive. Résultat, cela n'a fait qu empirer les choses. A présent, mon chien aboie sur tous les passants pour avoir sa récompense. J'habite en ville. Maintenant il aboie non stop.",0,2025-03-13T08:11:40Z,,False
reply,@Danseavectonchien,Merci de votre témoignage. C'est en vérité très intéressant car c'est bien la toute première fois que nous avons ce retour. Pouvez vous nous dire précisément ce que vous avez mis en place pour que l'on puisse vous guider et corriger cela ?,0,2025-03-18T11:14:54Z,UgzYUcC--rdVyRT4SBZ4AaABAg,True
reply,@AmandinePrompt,J'ai mis en place la distraction par la fouille de croquettes à l'approche d'un autre chien. Les audio d aboiements à la maison n'ont pas fonctionné car il ne réagit pas. Il a clairement associé aboiement et récompense.,0,2025-03-19T12:35:39Z,UgzYUcC--rdVyRT4SBZ4AaABAg,False
reply,@JulietteBdn,"⁠@@AmandinePromptje travailles avec Julia et c’est moi qui m’occupe principalement de la rééducation.
La fait de récompenser quand le chien aboie est seulement une première étape, pour changer l’état émotionnel du chien (surtout si il a pu se faire disputer ou impressionner quand il aboie). Le but n’est pas de détourner l’attention du chien mais que l’arrivée du déclencheur soit positive. Ensuite le but est de récompenser dès qu’il y a le déclencheur, avant qu’il n’aboie. Mais c’est un travail qui nécessite de la precision.
Pour les enregistrements, au contraire ça marche très bien, l’intérêt de déjà travailler avec un son qui ne déclenche pas le chien PUIS le généraliser. Donc c’est exactement ce qui est recherché, ça tombe très bien 😊",0,2025-03-19T18:08:45Z,UgzYUcC--rdVyRT4SBZ4AaABAg,False
comment,@Randophane,"Bonjour, merci pour toutes ces vidéos qui me remettent bien en question. J'apprécie beaucoup votre approche. Je voulais savoir ce qu'il en est des repas. On m'a toujours dit que le chien devait apprendre à manger après nous. Est-ce nécéssaire ?  Il se trouve que mon chiot de 3 mois aboie quand on mange. Je me pose donc la questiin soit de le mettre à l'écart le temps de notre repas ou soit lui donner à manger avant nous mais je ne sais pas si le chiot n'aboiera pas pour autant.",0,2025-03-07T10:49:41Z,,False
comment,@karoli6398,"Merci pour cette vidéo comment travailler ce pb lorsque mon chien  ( extrêmement craintif  ) n'aboie et grogne que lorsque mes ados s'approchent de moi ou mon mari , lorsqu'elles sont seules  avec lui aucun souci...",0,2025-02-20T22:06:00Z,,False
comment,@amandinecatsitting5537,"Merci pour ces explications très claires. Ça me fait penser à une situation similaire chez les humains : quand un bébé pleure, si on lui crie dessus pour qu’il se taise il va pleurer encore plus fort!! Logique donc que le chien n’arrête pas d’aboyer si on le terrorise ou lui crie dessus.",0,2025-01-15T22:48:12Z,,False
comment,@eeeee6628,"Merci pour toutes vos vidéos !! Mon chien aboyait beaucoup en balade, surtout sur les joggers et les autres chiens . J'ai appliqué vos conseils et les progres en un mois sont iuste incroyables 🎉🎉🎉",3,2025-01-06T19:13:19Z,,False
reply,@Danseavectonchien,Super ça nous fait vraiment hyper plaisir !,0,2025-01-13T12:56:20Z,UgxQ7fJCjSXLceCf9Rh4AaABAg,True
