type,author,text,likes,published_at,parent_id,is_owner
comment,@claudeguinard,Oui mais comment faire pour l'empêcher de bouffer des crottes ?,0,2025-03-07T23:04:07Z,,False
comment,@EloKoise,"Merci beaucoup pour la vidéo 😊.
J ai une petite question : si on apprend au chien à ne pas prendre la nourriture par terre mais qu on le récompense en lui envoyant la friandise par terre, est ce que ça ne va pas le perturber ? Faut t’il donner un ordre comme « prends » pour qu il puisse récupérer la friandise par terre?
Dsl je ne sais pas si je suis très claire 😕",3,2024-12-11T13:36:30Z,,False
reply,@Danseavectonchien,En vrai c’est une bonne question. Oui il faut donner un signal qui autorise tout simplement,1,2024-12-19T18:40:44Z,UgxExqTbo3yl4KeuQEZ4AaABAg,True
comment,@romanecellier6474,Merci pour cette vidéo pour le chien d’un ami 🙏,0,2024-12-02T20:40:40Z,,False
comment,@maevasc,"Comment on fait pour ne plus utiliser le « tu laisses » lors d’un croisement avec d’autres chiens ? Est-ce que le refus d’appât pour se transposer sur les chiens aussi pour éviter d’aller les voir sans un ordre libérateur ? Parce que avec les chiens qui sont ses stimulis je sais comment faire et c’est ok mais si c’est un chien avec lequel elle a envie de jouer mais que l’autre non, si j’utilise pas le tu laisses, on fait comment ?",0,2024-11-09T15:20:03Z,,False
reply,@Danseavectonchien,"Le refus d'appât peut être en effet appliqué avec tout ce qui peut tenter le chien, congénères compris (que ce soit juste pour apprendre à s'en éloigner/rester calme ou y renoncer complètement)",1,2024-11-19T19:54:08Z,UgwAsd-V8Pd7uPXam0h4AaABAg,True
reply,@maevasc,@ merci beaucoup!!!,0,2024-11-21T09:52:31Z,UgwAsd-V8Pd7uPXam0h4AaABAg,False
comment,@cocoespoir8601,❤❤❤❤❤❤❤❤,3,2024-10-21T04:26:18Z,,False
comment,@JC-Octox,Trop NUL !!! Faut arrêter avec les friandises ... Pour lui apprendre un truc tu lui a fait prendre 3kg !!  Vas faire une vraie formation et apprends déjà à comprendre ton chien et savoir comment communiquer sans balancer des friandises à tout va !! On devient pas éducateur en regardant des tutos ! Bref ta vidéo ( et je ne regarde même les autres ) m'a bien fait rire 🤣🤣 Rien que ta façon de parler .... Un conseil laisse tomber les chiens et fais des tutos pour poissons rouges !!,0,2024-10-20T23:00:16Z,,False
comment,@amandinecatsitting5537,Merci pour cette vidéo! Est-ce qu’on peut utiliser la même méthode pour empêcher le chien de jouer avec le chat de la maison? Mon chat étant un peu âgé il fatigue vite et j’aimerais que notre jeune chien apprenne à le laisser tranquille.,1,2024-09-01T22:16:57Z,,False
comment,@bsandra8752,Merci beaucoup,3,2024-07-24T12:40:57Z,,False
reply,@Danseavectonchien,Avec plaisir,1,2024-07-30T08:26:02Z,Ugymgnd4yLyxfCCNe2d4AaABAg,True
comment,@bsandra8752,"Merci beaucoup pour vos partages et vidéos très enrichissantes. Mon jack/lévrier italien de 9 mois course notre chat de 11 ans qui ne se défend pas vraiment 😥. Il l'aime trop et veut jouer avec lui. En rentrant à la maison , il courre directement lui dire bonjour. Quand je suis à côté, il réussi à gérer ses pulsions, sinon j'entends miaulement et précipitation. Depuis la castration (grosse journée de stress pour cet hypersensible) , les aboiements se sont amplifiés également. Il est très intelligent, donc top en exercices. Je ne trouve pas d'exercices pour la gestion des émotions +++ et---. Je l'emmène courrir tous les midis et il reste calme la journée au travail avec moi. Je vous remercie pour votre retour. Belle journée",1,2024-06-02T08:39:08Z,,False
reply,@Danseavectonchien,"Bonjour, le principal reste de récompenser au maximum quand votre chien reste calme, même s'il prend sur lui, après tous les exercices d'autocontrôles, de gestion d'impulsion, de focus disponibles sur la chaîne peuvent aider. En travaillant en laisse sur le même fonctionnement que le refus d'appât ça peut aussi bien aider. Parce que l'objectif n'est pas qu'il apprenne à gérer ses pulsions en présence d'humain (ça fat augmenter la frustration et quand il est seul, il décharge ++ et se renforce) mais qu'il trouve plus intéressant de rester calme",1,2024-07-24T08:51:39Z,UgwQX1DRvRNWRDxD8-14AaABAg,True
comment,@justinesc.3153,"Ooooh top ! Je viens juste de le vivre en promenade avec un kk et un morceau de viande ! 
La difficulté que je rencontre souvent, c'est que jai 2 chiens, ce qui provoque un jeu de ressource entre eux. Donc en solo, j'arrive à mettre le stop, mais à 2, ils veulent viiiiite avaler le truc avant que l'autre chien ne vienne voir ! 
Je découvre seulement les enseignements de l'éducation positive donc j'ai pas toujours les bons réflexes.
Peut-on travailler avec 2 chiens en même tps ou seulement une fois que c'est acquis en solo ou il y a des codes différents avec une éducation collective ?",1,2024-05-03T15:21:41Z,,False
reply,@Juliette-Bdn,"On travaille d'abord avec les chiens séparés, ensuite on généralise ensemble quand c'est acquis.
C'est important pour ne pas créer de tensions et de frustration",2,2024-05-23T09:23:59Z,Ugw1Nq1vRb5DLiB2shB4AaABAg,False
reply,@Danseavectonchien,Merci d'avoir répondu (Juliette est notre éduc),1,2024-07-30T08:27:29Z,Ugw1Nq1vRb5DLiB2shB4AaABAg,True
comment,@lalalou7,Merci pour les exercices. Comment réagir si pendant l' exercice notre toutou a pris l'appât ? Merci,3,2024-02-28T20:23:11Z,,False
reply,@Danseavectonchien,Avec plaisir. c'est pour cela que vous devez commencer avec la distance et gérer au mieux la longe ;-) vous ne devez pas mettre votre chien en difficulté ou en échec. Si le chien a mangé l'appat c'est que vous êtes allez trop vite donc revenez en arriere et récompensez à bloc les bonnes propositions !,2,2024-03-04T10:01:46Z,Ugz9C2I9PwDaTCajTTx4AaABAg,True
reply,@lalalou7,Merci😊,1,2024-03-04T10:47:35Z,Ugz9C2I9PwDaTCajTTx4AaABAg,False
